Index,Combined,Type,Nato Designation,Pennant No.,Name,Name,Commissioned,Tons,Fleet,Status
553,"Jianghu Type 053H1 frigate Name: Shaoguan/韶关, Commisioned:1985, Tons:2000, Fleet:South Sea Fleet",Type 053H1 frigate,Jianghu class,553,Shaoguan,韶关,1985,2000,South Sea Fleet,Active
555,"Jianghu Type 053H1 frigate Name: Zhaotong/昭通, Commisioned:1987, Tons:2000, Fleet:South Sea Fleet",Type 053H1 frigate,Jianghu class,555,Zhaotong,昭通,1987,2000,South Sea Fleet,Active
558,"Jianghu Type 053H1G frigate Name: Beihai/北海, Commisioned:1993, Tons:2000, Fleet:East Sea Fleet",Type 053H1G frigate,Jianghu class,558,Beihai,北海,1993,2000,East Sea Fleet,Active
560,"Jianghu Type 053H1G frigate Name: Dongguan/东莞, Commisioned:1993, Tons:2000, Fleet:East Sea Fleet",Type 053H1G frigate,Jianghu class,560,Dongguan,东莞,1993,2000,East Sea Fleet,Active
561,"Jianghu Type 053H1G frigate Name: Shantou/汕头, Commisioned:1993, Tons:2000, Fleet:East Sea Fleet",Type 053H1G frigate,Jianghu class,561,Shantou,汕头,1993,2000,East Sea Fleet,Active
559,"Jianghu Type 053H1G frigate Name: Foshan/佛山, Commisioned:1994, Tons:2000, Fleet:East Sea Fleet",Type 053H1G frigate,Jianghu class,559,Foshan,佛山,1994,2000,East Sea Fleet,Active
562,"Jianghu Type 053H1G frigate Name: Jiangmen/江门, Commisioned:1995, Tons:2000, Fleet:East Sea Fleet",Type 053H1G frigate,Jianghu class,562,Jiangmen,江门,1995,2000,East Sea Fleet,Active
563,"Jianghu Type 053H1G frigate Name: Zhaoqing/肇庆, Commisioned:1995, Tons:2000, Fleet:East Sea Fleet",Type 053H1G frigate,Jianghu class,563,Zhaoqing,肇庆,1995,2000,East Sea Fleet,Active
525,"Jiangkai I Type 054 frigate Name: Ma'anshan/马鞍山, Commisioned:2005, Tons:3900, Fleet:East Sea Fleet",Type 054 frigate,Jiangkai I class,525,Ma'anshan,马鞍山,2005,3900,East Sea Fleet,Active
526,"Jiangkai I Type 054 frigate Name: Wenzhou/温州, Commisioned:2005, Tons:3900, Fleet:East Sea Fleet",Type 054 frigate,Jiangkai I class,526,Wenzhou,温州,2005,3900,East Sea Fleet,Active
